dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,conf_lo,conf_hi,sep_evidence,p_median,ARI,AMI,NMI
sep_k2_d10,sep,15,800,10,2,CDK knn+2ec,2,3.0497868061065674,46,20,2,2,0.043478260869565216,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,17,800,10,2,CDK knn+2ec,2,3.242067813873291,42,18,2,2,0.047619047619047616,0.5769230769230769,1.0,1.0,1.0
sep_k2_d10,sep,16,800,10,2,CDK knn+2ec,2,4.1007561683654785,47,20,2,2,0.0851063829787234,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,18,800,10,2,CDK knn+2ec,2,3.958513021469116,43,19,2,2,0.09302325581395349,0.8076923076923077,1.0,1.0,1.0
sep_k2_d10,sep,19,800,10,2,CDK knn+2ec,2,4.634340763092041,46,19,2,2,0.10869565217391304,0.4807692307692308,1.0,1.0,1.0
sep_k2_d50,sep,0,800,50,2,CDK knn+2ec,2,5.2101662158966064,33,14,2,2,0.030303030303030304,1.0,1.0,1.0,1.0
sep_k2_d50,sep,1,800,50,2,CDK knn+2ec,2,5.6645348072052,45,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,2,800,50,2,CDK knn+2ec,2,5.578275918960571,36,15,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,3,800,50,2,CDK knn+2ec,2,4.232134819030762,44,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,5,800,50,2,CDK knn+2ec,2,5.149861574172974,48,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,4,800,50,2,CDK knn+2ec,2,5.647009611129761,36,15,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,6,800,50,2,CDK knn+2ec,2,4.810750961303711,40,16,2,2,0.025,1.0,1.0,1.0,1.0
sep_k2_d50,sep,7,800,50,2,CDK knn+2ec,2,5.315955877304077,43,17,2,2,0.023255813953488372,1.0,1.0,1.0,1.0
sep_k2_d50,sep,8,800,50,2,CDK knn+2ec,2,4.584700345993042,46,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,9,800,50,2,CDK knn+2ec,2,4.101189851760864,31,13,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,10,800,50,2,CDK knn+2ec,2,4.435253858566284,41,17,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,11,800,50,2,CDK knn+2ec,2,4.394025564193726,41,17,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,13,800,50,2,CDK knn+2ec,2,4.500174283981323,48,19,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,12,800,50,2,CDK knn+2ec,2,4.811835050582886,46,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,14,800,50,2,CDK knn+2ec,2,4.406794309616089,45,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,15,800,50,2,CDK knn+2ec,2,4.360524415969849,44,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,16,800,50,2,CDK knn+2ec,2,4.1369757652282715,34,14,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,17,800,50,2,CDK knn+2ec,2,4.526628494262695,44,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,18,800,50,2,CDK knn+2ec,2,5.370664358139038,40,17,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,19,800,50,2,CDK knn+2ec,2,5.598289251327515,42,17,2,2,0.0,1.0,1.0,1.0,1.0
sep_k3_d2,sep,0,800,2,3,CDK knn+2ec,3,3.5839297771453857,34,15,3,3,0.4411764705882353,0.0875,1.0,1.0,1.0
sep_k3_d2,sep,1,800,2,3,CDK knn+2ec,3,3.054187774658203,30,15,3,3,0.3333333333333333,0.23961538461538462,1.0,1.0,1.0
sep_k3_d2,sep,2,800,2,3,CDK knn+2ec,3,2.8969273567199707,30,14,3,3,0.43333333333333335,0.16153225806451613,0.9962429541292189,0.9924878588475724,0.9925050108706743
sep_k3_d2,sep,3,800,2,3,CDK knn+2ec,3,3.1557579040527344,36,17,3,3,0.3333333333333333,0.4423076923076923,1.0,1.0,1.0
sep_k3_d2,sep,4,800,2,3,CDK knn+2ec,3,3.545548677444458,34,16,3,3,0.35294117647058826,0.18,1.0,1.0,1.0
sep_k3_d2,sep,5,800,2,3,CDK knn+2ec,3,3.7878639698028564,36,16,3,3,0.2777777777777778,0.1275,1.0,1.0,1.0
sep_k3_d2,sep,6,800,2,3,CDK knn+2ec,3,4.69132137298584,40,18,3,3,0.325,0.22833333333333333,1.0,1.0,1.0
sep_k3_d2,sep,7,800,2,3,CDK knn+2ec,3,4.270298719406128,34,15,3,4,0.4117647058823529,0.025,1.0,1.0,1.0
sep_k3_d2,sep,9,800,2,3,CDK knn+2ec,3,3.0884804725646973,33,16,3,3,0.3333333333333333,0.2535211267605634,1.0,1.0,1.0
sep_k3_d2,sep,8,800,2,3,CDK knn+2ec,3,4.020662069320679,40,18,3,3,0.4,0.1025,1.0,1.0,1.0
sep_k3_d2,sep,11,800,2,3,CDK knn+2ec,3,2.7756052017211914,37,17,3,3,0.2972972972972973,0.38461538461538464,1.0,1.0,1.0
sep_k3_d2,sep,10,800,2,3,CDK knn+2ec,3,3.794666290283203,37,16,3,3,0.2972972972972973,0.19,1.0,1.0,1.0
sep_k3_d2,sep,12,800,2,3,CDK knn+2ec,3,3.6004490852355957,34,16,3,4,0.38235294117647056,0.11249999999999999,1.0,1.0,1.0
sep_k3_d2,sep,13,800,2,3,CDK knn+2ec,3,3.1441421508789062,33,15,3,3,0.3939393939393939,0.2545454545454545,1.0,1.0,1.0
sep_k3_d2,sep,14,800,2,3,CDK knn+2ec,3,3.132390022277832,36,17,3,4,0.3611111111111111,0.3213399503722084,1.0,1.0,1.0
sep_k3_d2,sep,15,800,2,3,CDK knn+2ec,3,3.7795827388763428,40,18,3,3,0.4,0.135,1.0,1.0,1.0
