dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k5_d2,sep,9,5,CDK 2ec / no multiplicity corr.,5,1.0,3.904865026473999
sep_k5_d2,sep,9,5,CDK 2ec / n_min=15,5,1.0,3.394658088684082
sep_k5_d2,sep,9,5,CDK 2ec / n_min=40,5,1.0,4.224834442138672
sep_k5_d10,sep,0,5,CDK 2ec (default),5,0.9968691099886756,4.838951587677002
sep_k5_d10,sep,0,5,CDK 2ec / Gaussian null,5,0.9968691099886756,4.558282852172852
sep_k5_d10,sep,0,5,CDK 2ec / AD statistic,5,0.9968691099886756,6.776622772216797
sep_k5_d10,sep,0,5,CDK 2ec / no multiplicity corr.,5,0.9968691099886756,4.823625326156616
sep_k5_d10,sep,0,5,CDK 2ec / n_min=15,5,0.9968691099886756,2.192420244216919
sep_k5_d10,sep,0,5,CDK 2ec / n_min=40,5,0.9968691099886756,5.03355073928833
sep_k5_d10,sep,1,5,CDK 2ec (default),5,0.9968691099886756,4.2479329109191895
sep_k5_d10,sep,1,5,CDK 2ec / Gaussian null,5,0.9968691099886756,4.967925548553467
sep_k5_d10,sep,1,5,CDK 2ec / AD statistic,5,0.9968691099886756,6.400235891342163
sep_k5_d10,sep,1,5,CDK 2ec / no multiplicity corr.,5,0.9968691099886756,4.359016418457031
sep_k5_d10,sep,1,5,CDK 2ec / n_min=15,5,0.9968691099886756,2.503739595413208
sep_k5_d10,sep,1,5,CDK 2ec / n_min=40,5,0.9968691099886756,5.145075559616089
sep_k5_d10,sep,2,5,CDK 2ec (default),5,0.9968691099886756,4.049939393997192
sep_k5_d10,sep,2,5,CDK 2ec / Gaussian null,5,0.9968691099886756,4.097136974334717
sep_k5_d10,sep,2,5,CDK 2ec / AD statistic,5,0.9968691099886756,5.399517059326172
sep_k5_d10,sep,2,5,CDK 2ec / no multiplicity corr.,5,0.9968691099886756,3.709537267684937
sep_k5_d10,sep,2,5,CDK 2ec / n_min=15,5,0.9968691099886756,2.7481167316436768
sep_k5_d10,sep,2,5,CDK 2ec / n_min=40,5,0.9968691099886756,4.9003520011901855
sep_k5_d10,sep,3,5,CDK 2ec (default),5,0.9691923778047782,5.00145959854126
sep_k5_d10,sep,3,5,CDK 2ec / Gaussian null,5,0.9691923778047782,5.253753423690796
sep_k5_d10,sep,3,5,CDK 2ec / AD statistic,5,0.9691923778047782,6.038934469223023
sep_k5_d10,sep,3,5,CDK 2ec / no multiplicity corr.,5,0.9691923778047782,4.585704565048218
sep_k5_d10,sep,3,5,CDK 2ec / n_min=15,5,0.9691923778047782,3.283508777618408
sep_k5_d10,sep,3,5,CDK 2ec / n_min=40,5,0.9691923778047782,5.659614324569702
sep_k5_d10,sep,4,5,CDK 2ec (default),5,0.9968691099886756,4.4457848072052
sep_k5_d10,sep,4,5,CDK 2ec / Gaussian null,5,0.9968691099886756,5.14114785194397
sep_k5_d10,sep,4,5,CDK 2ec / AD statistic,5,0.9968691099886756,7.632616519927978
sep_k5_d10,sep,4,5,CDK 2ec / no multiplicity corr.,5,0.9968691099886756,4.663633108139038
sep_k5_d10,sep,4,5,CDK 2ec / n_min=15,5,0.9968691099886756,2.8851001262664795
sep_k5_d10,sep,4,5,CDK 2ec / n_min=40,5,0.9968691099886756,4.868492364883423
sep_k5_d10,sep,5,5,CDK 2ec (default),5,0.993757960024628,4.537938833236694
sep_k5_d10,sep,5,5,CDK 2ec / Gaussian null,5,0.993757960024628,4.602170705795288
sep_k5_d10,sep,5,5,CDK 2ec / AD statistic,5,0.993757960024628,6.845911264419556
sep_k5_d10,sep,5,5,CDK 2ec / no multiplicity corr.,5,0.993757960024628,4.104158639907837
sep_k5_d10,sep,5,5,CDK 2ec / n_min=15,5,0.993757960024628,3.527041435241699
sep_k5_d10,sep,5,5,CDK 2ec / n_min=40,5,0.993757960024628,5.417069673538208
sep_k5_d10,sep,6,5,CDK 2ec (default),5,0.987486698264138,3.744714736938477
sep_k5_d10,sep,6,5,CDK 2ec / Gaussian null,5,0.987486698264138,3.784586191177368
sep_k5_d10,sep,6,5,CDK 2ec / AD statistic,5,0.987486698264138,5.943892002105713
sep_k5_d10,sep,6,5,CDK 2ec / no multiplicity corr.,5,0.987486698264138,3.783493280410767
sep_k5_d10,sep,6,5,CDK 2ec / n_min=15,5,0.987486698264138,3.248167037963867
sep_k5_d10,sep,6,5,CDK 2ec / n_min=40,5,0.987486698264138,4.93781590461731
sep_k5_d10,sep,7,5,CDK 2ec (default),5,1.0,4.624302625656128
sep_k5_d10,sep,7,5,CDK 2ec / Gaussian null,5,1.0,4.442341566085815
sep_k5_d10,sep,7,5,CDK 2ec / AD statistic,5,1.0,6.003773212432861
