dataset,family,rep,fam,true_k,k_hat,k_init,m_edges,cand_connected,n_tests,secs
unbal_r20,unbalanced,1,knn2ec,5,4,15,37,True,37,3.82
unbal_r20,unbalanced,2,knn2ec,5,4,20,51,True,51,5.29
elong_c5,elongated,0,knn2ec,4,4,19,50,True,50,5.36
elong_c5,elongated,1,knn2ec,4,11,18,47,True,47,5.68
elong_c5,elongated,2,knn2ec,4,6,19,45,True,45,4.63
nongauss_t3,nongauss,0,knn2ec,5,5,10,25,True,25,3.36
nongauss_t3,nongauss,1,knn2ec,5,6,16,38,True,38,3.62
nongauss_t3,nongauss,2,knn2ec,5,5,10,27,True,27,3.65
noise_30,noise,0,knn2ec,4,6,10,27,True,27,4.04
noise_30,noise,1,knn2ec,4,6,9,23,True,23,3.43
noise_30,noise,2,knn2ec,4,5,13,33,True,33,3.27
nested_d2,nested,0,knn2ec,6,6,23,55,True,55,4.14
nested_d2,nested,1,knn2ec,6,6,23,54,True,54,3.94
nested_d2,nested,2,knn2ec,6,6,24,56,True,56,4.17
