dataset,family,rep,true_k,gamma,k_hat,ARI,sep_evidence,secs
null_uniform_d10,null,0,1,0.0,1,1.0,0.05555555555555555,2.8
null_uniform_d10,null,0,1,0.1,1,1.0,0.027777777777777776,2.7
null_uniform_d10,null,0,1,0.2,1,1.0,0.027777777777777776,2.6
null_uniform_d10,null,1,1,0.0,1,1.0,0.0967741935483871,2.5
null_uniform_d10,null,1,1,0.1,1,1.0,0.0,2.2
null_uniform_d10,null,1,1,0.2,1,1.0,0.0,2.0
null_uniform_d10,null,2,1,0.0,1,1.0,0.06060606060606061,3.0
null_uniform_d10,null,2,1,0.1,1,1.0,0.06060606060606061,3.1
null_uniform_d10,null,2,1,0.2,1,1.0,0.0,2.7
null_t3_d2,null,0,1,0.0,2,0.0,0.5384615384615384,3.1
null_t3_d2,null,0,1,0.1,1,1.0,0.23076923076923078,2.4
null_t3_d2,null,0,1,0.2,1,1.0,0.2692307692307692,2.5
null_t3_d2,null,1,1,0.0,1,1.0,0.0,0.0
null_t3_d2,null,1,1,0.1,1,1.0,0.0,0.0
null_t3_d2,null,1,1,0.2,1,1.0,0.0,0.0
null_t3_d2,null,2,1,0.0,1,1.0,0.48,3.4
null_t3_d2,null,2,1,0.1,2,0.0,0.4,3.7
null_t3_d2,null,2,1,0.2,1,1.0,0.4,3.3
null_t3_d10,null,0,1,0.0,1,1.0,0.2,1.1
null_t3_d10,null,0,1,0.1,1,1.0,0.0,0.5
null_t3_d10,null,0,1,0.2,1,1.0,0.0,0.5
null_t3_d10,null,1,1,0.0,1,1.0,0.3333333333333333,0.5
null_t3_d10,null,1,1,0.1,1,1.0,0.0,0.2
null_t3_d10,null,1,1,0.2,1,1.0,0.0,0.2
null_t3_d10,null,2,1,0.0,1,1.0,0.17391304347826086,2.2
null_t3_d10,null,2,1,0.1,1,1.0,0.0,0.8
null_t3_d10,null,2,1,0.2,1,1.0,0.0,0.8
null_aniso_d2,null,0,1,0.0,1,1.0,0.46153846153846156,3.8
null_aniso_d2,null,0,1,0.1,1,1.0,0.41025641025641024,4.3
null_aniso_d2,null,0,1,0.2,1,1.0,0.358974358974359,4.0
null_aniso_d2,null,1,1,0.0,1,1.0,0.5,4.6
null_aniso_d2,null,1,1,0.1,2,0.0,0.47368421052631576,4.8
null_aniso_d2,null,1,1,0.2,1,1.0,0.42105263157894735,4.1
null_aniso_d2,null,2,1,0.0,1,1.0,0.43333333333333335,3.1
null_aniso_d2,null,2,1,0.1,1,1.0,0.43333333333333335,3.2
null_aniso_d2,null,2,1,0.2,1,1.0,0.36666666666666664,2.9
null_aniso_d10,null,0,1,0.0,1,1.0,0.1111111111111111,2.1
null_aniso_d10,null,0,1,0.1,1,1.0,0.08333333333333333,2.6
null_aniso_d10,null,0,1,0.2,1,1.0,0.05555555555555555,2.4
