dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,sep_evidence,p_median,ARI,AMI,NMI
sep_k2_d10,sep,19,800,10,2,CDK repaired,2,7.013204574584961,46,19,0.08695652173913043,0.4423076923076923,1.0,1.0,1.0
sep_k2_d50,sep,0,800,50,2,CDK repaired,2,4.605034351348877,33,14,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,1,800,50,2,CDK repaired,2,5.568637371063232,45,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,2,800,50,2,CDK repaired,2,8.037239789962769,36,15,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,3,800,50,2,CDK repaired,2,5.051229476928711,44,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,4,800,50,2,CDK repaired,2,5.422525644302368,36,15,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,5,800,50,2,CDK repaired,2,6.2285072803497314,48,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,7,800,50,2,CDK repaired,2,5.728410243988037,43,17,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,6,800,50,2,CDK repaired,2,7.479644775390625,40,16,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,8,800,50,2,CDK repaired,2,6.321162700653076,46,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,9,800,50,2,CDK repaired,2,6.378701686859131,31,13,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,11,800,50,2,CDK repaired,2,5.834802865982056,41,17,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,10,800,50,2,CDK repaired,2,6.304103136062622,41,17,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,12,800,50,2,CDK repaired,2,6.728466510772705,46,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,13,800,50,2,CDK repaired,2,7.0297322273254395,48,19,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,15,800,50,2,CDK repaired,2,6.264592170715332,44,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,14,800,50,2,CDK repaired,2,7.175888538360596,45,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,16,800,50,2,CDK repaired,2,5.924235582351685,34,14,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,17,800,50,2,CDK repaired,2,6.4854631423950195,44,18,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,18,800,50,2,CDK repaired,2,4.9558281898498535,40,17,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,19,800,50,2,CDK repaired,2,5.539579391479492,42,17,0.0,1.0,1.0,1.0,1.0
sep_k3_d2,sep,0,800,2,3,CDK repaired,3,6.400174379348755,34,15,0.38235294117647056,0.08249999999999999,1.0,1.0,1.0
sep_k3_d2,sep,1,800,2,3,CDK repaired,3,5.334829330444336,30,15,0.23333333333333334,0.11,1.0,1.0,1.0
sep_k3_d2,sep,2,800,2,3,CDK repaired,3,4.8080267906188965,30,14,0.3333333333333333,0.28846153846153844,0.9962429541292189,0.9924878588475724,0.9925050108706743
sep_k3_d2,sep,3,800,2,3,CDK repaired,3,5.16923713684082,36,17,0.2222222222222222,0.26252236135957063,1.0,1.0,1.0
sep_k3_d2,sep,4,800,2,3,CDK repaired,3,5.510027647018433,34,16,0.3235294117647059,0.14250000000000002,1.0,1.0,1.0
sep_k3_d2,sep,5,800,2,3,CDK repaired,3,6.278699636459351,36,16,0.3055555555555556,0.125,1.0,1.0,1.0
sep_k3_d2,sep,6,800,2,3,CDK repaired,3,8.566169023513794,40,18,0.275,0.1625,1.0,1.0,1.0
sep_k3_d2,sep,7,800,2,3,CDK repaired,3,8.251767873764038,34,15,0.2647058823529412,0.065,1.0,1.0,1.0
sep_k3_d2,sep,8,800,2,3,CDK repaired,3,8.85968279838562,40,18,0.3,0.135,1.0,1.0,1.0
sep_k3_d2,sep,9,800,2,3,CDK repaired,3,8.85503339767456,33,16,0.2727272727272727,0.115,1.0,1.0,1.0
sep_k3_d2,sep,11,800,2,3,CDK repaired,3,9.134859323501587,37,17,0.21621621621621623,0.3076923076923077,1.0,1.0,1.0
sep_k3_d2,sep,10,800,2,3,CDK repaired,3,10.686148166656494,37,16,0.2702702702702703,0.085,1.0,1.0,1.0
sep_k3_d2,sep,12,800,2,3,CDK repaired,3,10.588077545166016,34,16,0.29411764705882354,0.14,1.0,1.0,1.0
sep_k3_d2,sep,13,800,2,3,CDK repaired,3,10.433426856994629,33,15,0.3333333333333333,0.06,1.0,1.0,1.0
sep_k3_d2,sep,14,800,2,3,CDK repaired,3,10.017128229141235,36,17,0.19444444444444445,0.2604895104895105,1.0,1.0,1.0
sep_k3_d2,sep,15,800,2,3,CDK repaired,3,11.900312185287476,40,18,0.275,0.16249999999999998,1.0,1.0,1.0
sep_k3_d2,sep,16,800,2,3,CDK repaired,3,12.83104920387268,44,19,0.3409090909090909,0.1375,1.0,1.0,1.0
sep_k3_d2,sep,17,800,2,3,CDK repaired,3,11.83895468711853,36,17,0.3055555555555556,0.05,1.0,1.0,1.0
sep_k3_d2,sep,19,800,2,3,CDK repaired,3,10.379152536392212,36,17,0.19444444444444445,0.2692307692307692,1.0,1.0,1.0
sep_k3_d2,sep,18,800,2,3,CDK repaired,3,12.292179346084595,34,15,0.4117647058823529,0.04,1.0,1.0,1.0
sep_k3_d10,sep,1,800,10,3,CDK repaired,3,9.438338041305542,43,19,0.046511627906976744,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,0,800,10,3,CDK repaired,3,11.737877607345581,46,20,0.08695652173913043,0.5769230769230769,1.0,1.0,1.0
sep_k3_d10,sep,2,800,10,3,CDK repaired,3,7.359982252120972,46,20,0.021739130434782608,0.75,1.0,1.0,1.0
sep_k3_d10,sep,3,800,10,3,CDK repaired,3,7.2901365756988525,39,18,0.10256410256410256,0.6153846153846154,1.0,1.0,1.0
sep_k3_d10,sep,5,800,10,3,CDK repaired,3,5.775046110153198,36,17,0.027777777777777776,0.7115384615384615,1.0,1.0,1.0
sep_k3_d10,sep,4,800,10,3,CDK repaired,3,8.660775661468506,39,18,0.05128205128205128,0.7692307692307693,1.0,1.0,1.0
sep_k3_d10,sep,6,800,10,3,CDK repaired,3,6.610039710998535,41,19,0.0,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,7,800,10,3,CDK repaired,3,6.73365044593811,40,19,0.05,0.75,1.0,1.0,1.0
sep_k3_d10,sep,8,800,10,3,CDK repaired,3,5.874146938323975,43,20,0.0,0.7692307692307693,1.0,1.0,1.0
sep_k3_d10,sep,9,800,10,3,CDK repaired,3,9.275977611541748,42,19,0.07142857142857142,0.6346153846153846,0.9962500118508789,0.9924899863753236,0.9925071335780613
sep_k3_d10,sep,10,800,10,3,CDK repaired,3,8.16410517692566,46,21,0.043478260869565216,0.7692307692307692,1.0,1.0,1.0
sep_k3_d10,sep,11,800,10,3,CDK repaired,3,9.667059183120728,41,19,0.0,0.6538461538461539,1.0,1.0,1.0
sep_k3_d10,sep,12,800,10,3,CDK repaired,3,9.98845362663269,41,19,0.04878048780487805,0.6153846153846154,1.0,1.0,1.0
sep_k3_d10,sep,13,800,10,3,CDK repaired,3,9.031314134597778,38,18,0.0,0.6153846153846154,1.0,1.0,1.0
sep_k3_d10,sep,14,800,10,3,CDK repaired,3,9.182170629501343,42,19,0.023809523809523808,0.7307692307692307,1.0,1.0,1.0
sep_k3_d10,sep,15,800,10,3,CDK repaired,3,8.237510919570923,38,18,0.05263157894736842,0.7307692307692308,1.0,1.0,1.0
sep_k3_d10,sep,16,800,10,3,CDK repaired,3,10.520263910293579,40,18,0.05,0.6346153846153846,1.0,1.0,1.0
sep_k3_d10,sep,17,800,10,3,CDK repaired,3,9.6984121799469,44,20,0.06818181818181818,0.8076923076923077,1.0,1.0,1.0
sep_k3_d10,sep,18,800,10,3,CDK repaired,3,12.172035455703735,47,21,0.0425531914893617,0.5384615384615384,1.0,1.0,1.0
sep_k3_d10,sep,19,800,10,3,CDK repaired,3,14.45126223564148,45,20,0.06666666666666667,0.5384615384615384,1.0,1.0,1.0
sep_k3_d50,sep,0,800,50,3,CDK repaired,3,13.200050830841064,34,15,0.11764705882352941,1.0,1.0,1.0,1.0
sep_k3_d50,sep,1,800,50,3,CDK repaired,3,9.334458589553833,38,17,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,2,800,50,3,CDK repaired,3,11.146835088729858,44,19,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,4,800,50,3,CDK repaired,3,8.191614627838135,34,16,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,3,800,50,3,CDK repaired,3,22.885619401931763,33,14,0.21212121212121213,1.0,1.0,1.0,1.0
