dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,2,800,2,2,ISODATA,2,0.015484094619750977,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,MDL split/merge,2,0.005410432815551758,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,GMM+BIC,2,0.1596992015838623,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,GMM+ICL,2,0.16993284225463867,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,HDBSCAN,2,0.004529476165771484,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Bisecting+Sil.,2,0.11050915718078613,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,ORACLE k-means(k*),2,0.0030601024627685547,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK (proposed),2,3.285419464111328,1.0,1.0,1.0,2.0,2.0,41.0,17.0,0.36585365853658536,0.135,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Silhouette,2,0.18584322929382324,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Calinski-Har.,2,0.11313676834106445,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Davies-Bouldin,2,0.1253678798675537,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Elbow (Kneedle),6,0.1180264949798584,0.33434473027073436,0.5575916350629175,0.5587109772315856,,,,,,,4,4,0.0
sep_k2_d2,sep,3,800,2,2,Jump statistic,2,0.11508393287658691,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Gap statistic,2,0.42060279846191406,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,X-means,2,0.010545015335083008,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,G-means,2,0.009539604187011719,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,dip-means,2,0.04203963279724121,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,ISODATA,6,0.020848989486694336,0.33521601792768574,0.5578977753505773,0.5590169710122934,,,,,,,4,4,0.0
sep_k2_d2,sep,3,800,2,2,MDL split/merge,2,0.007230281829833984,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,GMM+BIC,2,0.20765995979309082,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,GMM+ICL,2,0.20713210105895996,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,HDBSCAN,2,0.005055665969848633,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Bisecting+Sil.,2,0.13163995742797852,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,ORACLE k-means(k*),2,0.0025353431701660156,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,CDK (proposed),2,4.187463283538818,1.0,1.0,1.0,2.0,2.0,48.0,19.0,0.5,0.015,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Silhouette,2,0.1624000072479248,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Calinski-Har.,2,0.10628437995910645,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Davies-Bouldin,2,0.11955475807189941,1.0,1.0,1.0,,,,,,,0,0,1.0
