dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,1,800,2,2,HDBSCAN,2,0.005202293395996094,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Bisecting+Sil.,2,0.10764789581298828,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,ORACLE k-means(k*),2,0.0025606155395507812,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,CDK (proposed),3,2.9941062927246094,0.939144206126726,0.9200446375817923,0.9201787941782873,2.0,3.0,47.0,19.0,0.40425531914893614,0.095,1,1,0.0
sep_k2_d2,sep,2,800,2,2,CDK / Gaussian null,2,4.8167290687561035,1.0,1.0,1.0,2.0,4.0,47.0,19.0,0.40425531914893614,0.035,0,0,1.0
sep_k2_d2,sep,2,800,2,2,CDK / AD statistic,2,3.839165449142456,1.0,1.0,1.0,2.0,2.0,47.0,19.0,0.2127659574468085,0.3076923076923077,0,0,1.0
sep_k2_d2,sep,2,800,2,2,CDK / no multiplicity corr.,3,3.588430643081665,0.939144206126726,0.9200446375817923,0.9201787941782873,3.0,6.0,47.0,19.0,0.48936170212765956,0.095,1,1,0.0
sep_k2_d2,sep,2,800,2,2,CDK / n_min=15,2,4.597258806228638,1.0,1.0,1.0,2.0,3.0,89.0,34.0,0.21348314606741572,0.15,0,0,1.0
sep_k2_d2,sep,2,800,2,2,CDK / n_min=40,2,1.885986566543579,1.0,1.0,1.0,2.0,2.0,24.0,10.0,0.4166666666666667,0.22153846153846155,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Silhouette,2,0.14099526405334473,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Calinski-Har.,2,0.08465838432312012,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Davies-Bouldin,2,0.09677839279174805,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Elbow (Kneedle),6,0.08666419982910156,0.336143717806333,0.5581772883619807,0.5592963451800642,,,,,,,4,4,0.0
sep_k2_d2,sep,2,800,2,2,Jump statistic,2,0.08648824691772461,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Gap statistic,2,0.33601832389831543,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,X-means,2,0.008645057678222656,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,G-means,2,0.007266044616699219,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,dip-means,2,0.03298807144165039,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,ISODATA,2,0.016109228134155273,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,MDL split/merge,2,0.005526065826416016,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,GMM+BIC,2,0.15848875045776367,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,GMM+ICL,2,0.16203665733337402,1.0,1.0,1.0,,,,,,,0,0,1.0
